Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Encoded_Category,Bevg_Prep,cafe_numic
260,2.5,0.5,0.0,0,220,59,1,55,4.0,0.04,0.0,0.1,0.15,2,7,4
340,1,0.5,0.0,5,300,80,1,76,7.0,0.1,0.0,0.15,0.1,2,11,8
390,6,3.5,0.1,15,300,80,1,76,6.0,0.08,0.0,0.15,0.1,2,12,8
350,3,1.0,0.0,0,290,78,2,73,6.0,0.06,0.0,0.2,0.2,2,7,8
180,0.1,0.0,0.0,0,160,42,0,41,3.0,0.04,0.0,0.1,0.0,2,9,28
200,2.5,1.5,0.1,10,160,42,0,41,3.0,0.04,0.0,0.08,0.0,2,12,28
180,1.5,0.2,0.0,0,150,40,0,39,2.0,0.04,0.0,0.1,0.04,2,7,28
280,0.1,0.1,0.0,0,220,60,0,59,4.0,0.06,0.0,0.1,0.0,2,3,2
280,3.5,2.0,0.1,10,220,60,0,59,3.0,0.04,0.0,0.1,0.0,2,12,2
260,1.5,0.2,0.0,0,220,58,0,56,3.0,0.04,0.0,0.1,0.06,2,7,2
330,0.1,0.1,0.0,5,290,78,0,77,5.0,0.1,0.0,0.15,0.02,2,11,7
370,5,3.0,0.1,15,300,78,0,77,5.0,0.08,0.0,0.15,0.02,2,12,7
340,2.5,0.3,0.0,0,290,75,1,73,5.0,0.06,0.0,0.2,0.08,2,7,7
220,3,2.0,0.0,0,170,47,1,44,4.0,0.04,0.0,0.1,0.2,2,9,29
240,5,3.5,0.1,10,170,47,1,44,4.0,0.04,0.0,0.08,0.2,2,12,29
220,4,2.5,0.0,0,170,45,1,42,3.0,0.04,0.0,0.1,0.2,2,7,29
310,4,3.0,0.0,0,250,67,2,62,5.0,0.06,0.0,0.1,0.25,2,3,4
340,7,5.0,0.1,10,250,67,2,62,5.0,0.04,0.0,0.1,0.25,2,12,4
310,6,3.5,0.0,0,240,65,2,60,4.0,0.04,0.0,0.1,0.3,2,7,4
420,5,4.0,0.0,5,340,90,2,84,7.0,0.1,0.0,0.2,0.35,2,11,9
460,10,7.0,0.2,15,340,90,2,84,7.0,0.06,0.0,0.15,0.35,2,12,9
430,8,4.5,0.0,0,330,88,3,80,6.0,0.06,0.0,0.2,0.4,2,7,9
90,0.1,0.0,0.0,0,160,20,0,19,3.0,0.04,0.0,0.1,0.0,4,9,28
120,0.1,0.1,0.0,0,210,26,0,26,3.0,0.06,0.0,0.1,0.0,4,3,33
160,0.1,0.1,0.0,5,270,34,0,33,5.0,0.08,0.0,0.15,0.02,4,11,5
110,0.5,0.4,0.0,0,150,24,1,23,3.0,0.04,0.0,0.08,0.06,4,9,28
150,1,0.5,0.0,0,200,33,1,30,4.0,0.06,0.0,0.1,0.08,4,3,33
210,1,0.5,0.0,5,280,46,1,42,6.0,0.08,0.0,0.15,0.1,4,11,7
100,0.1,0.0,0.0,0,140,23,0,23,3.0,0.04,0.0,0.08,0.0,4,9,27
150,0.1,0.1,0.0,0,200,33,0,32,3.0,0.06,0.0,0.1,0.0,4,3,32
200,0.1,0.1,0.0,5,270,44,0,43,5.0,0.08,0.0,0.15,0.02,4,11,5
150,3,2.0,0.0,0,170,30,1,27,4.0,0.04,0.0,0.1,0.2,4,9,28
220,4,3.0,0.0,0,240,43,2,39,5.0,0.06,0.0,0.1,0.25,4,3,3
290,5,4.0,0.0,5,320,58,2,52,7.0,0.08,0.0,0.15,0.35,4,11,12
170,0.1,0.1,0.0,0,140,39,0,38,3.0,0.06,0.06,0.1,0.02,3,9,0
190,3,1.5,0.1,10,140,38,0,37,3.0,0.04,0.06,0.1,0.02,3,12,0
170,1.5,0.2,0.0,0,135,37,1,35,3.0,0.04,0.06,0.1,0.06,3,7,0
230,0.2,0.1,0.0,0,190,53,0,52,4.0,0.08,0.06,0.15,0.04,3,3,0
260,4,2.0,0.1,10,190,53,0,52,4.0,0.06,0.06,0.15,0.04,3,12,0
240,2,0.2,0.0,0,180,51,1,49,3.0,0.04,0.06,0.15,0.08,3,7,0
310,0.2,0.1,0.0,5,260,70,0,69,6.0,0.1,0.08,0.2,0.04,3,11,0
350,6,3.0,0.2,15,260,70,0,68,6.0,0.08,0.08,0.2,0.04,3,12,0
170,0.1,0.1,0.0,0,160,39,0,38,4.0,0.06,0.0,0.1,0.0,3,9,0
200,3.5,2.0,0.1,10,160,39,0,38,3.0,0.06,0.0,0.1,0.0,3,12,0
180,1.5,0.2,0.0,0,160,37,1,35,3.0,0.04,0.0,0.1,0.06,3,7,0
240,0.1,0.1,0.0,5,230,56,0,55,5.0,0.08,0.0,0.15,0.0,3,3,0
